"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2017","94.39","94.87","95.15","94.26","","-0.58%"
"10/29/2017","94.94","94.83","95.01","94.41","","0.03%"
"10/22/2017","94.92","93.82","95.15","93.48","","1.30%"
"10/15/2017","93.70","93.08","93.80","93.06","","0.66%"
"10/08/2017","93.09","93.77","93.84","92.75","","-0.76%"
"10/01/2017","93.80","93.22","94.27","93.12","","0.78%"
"09/24/2017","93.08","92.42","93.67","92.21","","0.98%"
"09/17/2017","92.17","91.95","92.70","91.53","","0.33%"
"09/10/2017","91.87","91.44","92.66","91.42","","0.57%"
"09/03/2017","91.35","92.66","92.73","91.01","","-1.58%"
"08/27/2017","92.81","92.32","93.35","91.62","","0.08%"
"08/20/2017","92.74","93.46","93.63","92.42","","-0.74%"
"08/13/2017","93.43","93.07","94.14","93.05","","0.39%"
"08/06/2017","93.07","93.51","93.89","92.93","","-0.51%"
"07/30/2017","93.54","93.36","93.77","92.55","","0.30%"
"07/23/2017","93.26","93.94","94.29","93.15","","-0.64%"
"07/16/2017","93.86","95.09","95.35","93.85","","-1.36%"
"07/09/2017","95.15","96.03","96.21","95.09","","-0.89%"
"07/02/2017","96.01","95.65","96.51","95.63","","0.40%"
"06/25/2017","95.63","97.24","97.47","95.47","","-1.68%"
"06/18/2017","97.26","97.10","97.87","97.04","","0.10%"
"06/11/2017","97.16","97.22","97.56","96.32","","-0.11%"
"06/04/2017","97.27","96.73","97.50","96.51","","0.58%"
"05/28/2017","96.71","97.43","97.78","96.65","","-0.75%"
"05/21/2017","97.44","97.21","97.55","96.80","","0.31%"
"05/14/2017","97.14","99.15","99.26","97.08","","-2.13%"
"05/07/2017","99.25","98.79","99.89","98.60","","0.61%"
"04/30/2017","98.65","98.93","99.46","98.54","","-0.41%"
"04/23/2017","99.05","98.97","99.33","98.69","","-0.93%"
"04/16/2017","99.98","100.49","100.47","99.37","","-0.58%"
"04/09/2017","100.56","101.18","101.34","100.01","","-0.61%"
"04/02/2017","101.18","100.50","101.26","100.37","","0.83%"
"03/26/2017","100.35","99.47","100.65","98.86","","0.73%"
"03/19/2017","99.63","100.36","100.47","99.53","","-0.67%"
"03/12/2017","100.30","101.31","101.79","100.14","","-0.94%"
"03/05/2017","101.25","101.40","102.25","101.17","","-0.29%"
"02/26/2017","101.54","101.11","102.26","100.69","","0.45%"
"02/19/2017","101.09","100.93","101.72","100.66","","0.14%"
"02/12/2017","100.95","100.84","101.76","100.41","","0.15%"
"02/05/2017","100.80","99.65","101.01","99.63","","0.93%"
"01/29/2017","99.87","100.32","101.02","99.23","","-0.66%"
"01/22/2017","100.53","100.74","100.82","99.79","","-0.21%"
"01/15/2017","100.74","101.66","101.73","100.26","","-0.43%"
"01/08/2017","101.18","102.25","102.95","100.72","","-1.02%"
"01/01/2017","102.22","102.38","103.82","101.30","","0.01%"
"12/25/2016","102.21","103.01","103.63","101.91","","-0.78%"
"12/18/2016","103.01","102.90","103.65","102.52","","0.06%"
"12/11/2016","102.95","101.71","103.56","100.73","","1.34%"
"12/04/2016","101.59","100.84","101.74","99.43","","0.81%"
"11/27/2016","100.77","101.25","101.83","100.62","","-0.71%"
"11/20/2016","101.49","101.28","102.05","100.65","","0.28%"
"11/13/2016","101.21","99.13","101.48","99.13","","2.17%"
"11/06/2016","99.06","97.54","99.13","95.89","","2.06%"
"10/30/2016","97.06","98.30","98.70","96.89","","-1.31%"
"10/23/2016","98.35","98.64","99.12","98.24","","-0.34%"
"10/16/2016","98.69","98.15","98.81","97.61","","0.68%"
"10/09/2016","98.02","96.63","98.13","96.46","","1.44%"
"10/02/2016","96.63","95.54","97.19","95.46","","1.23%"
"09/25/2016","95.46","95.40","95.96","95.13","","-0.02%"
"09/18/2016","95.48","96.07","96.33","95.05","","-0.66%"
"09/11/2016","96.11","95.30","96.11","94.94","","0.81%"
"09/04/2016","95.34","95.89","95.89","94.47","","-0.52%"
"08/28/2016","95.84","95.61","96.25","95.19","","0.28%"
"08/21/2016","95.57","94.72","95.59","94.21","","1.12%"
"08/14/2016","94.51","95.65","95.80","94.08","","-1.26%"
"08/07/2016","95.72","96.29","96.52","95.25","","-0.49%"
"07/31/2016","96.19","95.59","96.52","95.00","","0.69%"
"07/24/2016","95.53","97.35","97.57","95.38","","-1.99%"
"07/17/2016","97.47","96.59","97.54","96.47","","0.92%"
"07/10/2016","96.58","96.29","96.79","95.83","","0.29%"
"07/03/2016","96.30","95.69","96.70","95.34","","0.68%"
"06/26/2016","95.65","96.07","96.70","95.41","","0.21%"
"06/19/2016","95.45","93.87","96.70","93.02","","1.32%"
