"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2011","7,484.5","7,565.0","7,681.2","6,898.1","","-1.06%"
"10/01/2011","7,565.0","6,791.6","7,864.5","6,414.9","","11.39%"
"09/01/2011","6,791.6","7,528.4","7,584.7","6,641.3","","-9.79%"
"08/01/2011","7,528.4","8,079.4","8,172.3","6,827.1","","-6.82%"
"07/01/2011","8,079.4","8,319.1","8,496.4","8,011.4","","-2.88%"
"06/01/2011","8,319.1","8,477.3","8,477.3","7,901.1","","-1.87%"
"05/01/2011","8,477.3","8,671.4","8,718.2","8,208.7","","-2.24%"
"04/01/2011","8,671.4","8,405.0","8,678.1","8,205.8","","3.17%"
"03/01/2011","8,405.0","8,438.5","8,470.4","7,873.3","","-0.40%"
"02/01/2011","8,438.5","8,139.2","8,520.3","8,139.2","","3.68%"
"01/01/2011","8,139.2","7,964.0","8,222.5","7,909.3","","2.20%"
"12/01/2010","7,964.0","7,430.9","7,982.6","7,430.9","","7.17%"
"11/01/2010","7,430.9","7,513.4","7,817.2","7,385.6","","-1.10%"
"10/01/2010","7,513.4","7,281.1","7,615.2","7,240.2","","3.19%"
"09/01/2010","7,281.1","6,704.2","7,376.9","6,704.2","","8.61%"
"08/01/2010","6,704.1","6,999.1","7,196.5","6,594.9","","-4.21%"
